filename,path,file.type,description
McFarland_Hill_export_20241022,acadia_climate_dashboard,.csv,McFarland Hill weather station data
,,,
column name,description,,
O3_PPB,ozone (O₃) concentrations in parts per billion,,
SO2_PPB,sulfur dioxide (SO2) concentration in parts per billion,,
NO_PPB,nitric oxide (NO) concentration in parts per billion,,
CO_PPM,carbon monoxide (CO) concentration in parts per billion,,
PM2_5B_UG_M3_LC,particulate matter 2.5 (BAM 1020),,
PM2_5_UG_M3_LC,particulate matter 2.5 (Teom),,
PM2_5F_2_UG_M3_LC,particulate matter 2.5 (FRM or FEM) - collocated,,
SWS_M_S,scalar wind speed,,
VWS_M_S ,vector wind speed,,
SWD_DEG,scalar wind direction,,
VWD_DEG,vector wind direction,,
TMP_DEGC,ambient temperature in degrees celsius ,,
TMP_2_DEGC,ambient temperature in degrees celsius - collocated ,,
RH_PERCENT,percent relative humidity,,
RNF_MM_HR,rate of rainfall in millimeters per hour (mm/hr),,
SOL_W_M2,solar radiation watts per square meter (W/m²),,
